,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
88,89,1,1,237,0,23.0,3,2,78,263.0,56,2
89,90,0,3,140,1,24.0,0,0,239,8.05,134,2
90,91,0,3,149,1,29.0,0,0,240,8.05,134,2
91,92,0,3,31,1,20.0,0,0,282,7.8542,134,2
92,93,0,1,141,1,46.0,1,0,539,61.175,111,2
93,94,0,3,196,1,26.0,1,2,429,20.575,134,2
94,95,0,3,173,1,59.0,0,0,350,7.25,134,2
96,97,0,1,263,1,71.0,0,0,479,34.6542,9,0
97,98,1,1,279,1,23.0,0,1,484,63.3583,82,0
98,99,1,2,204,0,34.0,0,1,98,23.0,134,2
99,100,0,2,377,1,34.0,1,0,127,26.0,134,2
100,101,0,3,534,0,28.0,0,0,312,7.8958,134,2
102,103,0,1,691,1,21.0,0,1,343,77.2875,88,2
103,104,0,3,362,1,33.0,0,0,393,8.6542,134,2
104,105,0,3,283,1,37.0,2,0,204,7.925,134,2
105,106,0,3,457,1,28.0,0,0,294,7.8958,134,2
106,107,1,3,581,0,21.0,0,0,238,7.65,134,2
108,109,0,3,548,1,38.0,0,0,316,7.8958,134,2
110,111,0,1,543,1,47.0,0,0,2,52.0,46,2
111,112,0,3,707,0,14.5,1,0,159,14.4542,134,0
112,113,0,3,67,1,22.0,0,0,229,8.05,134,2
113,114,0,3,372,0,20.0,1,0,382,9.825,134,2
114,115,0,3,46,0,17.0,0,0,150,14.4583,134,0
115,116,0,3,527,1,21.0,0,0,529,7.925,134,2
116,117,0,3,167,1,70.5,0,0,369,7.75,134,1
117,118,0,2,661,1,29.0,1,0,44,21.0,134,2
118,119,0,1,69,1,24.0,0,1,461,247.5208,32,0
119,120,0,3,24,0,2.0,4,2,274,31.275,134,2
120,121,0,2,325,1,21.0,2,0,491,73.5,134,2
122,123,0,2,473,1,32.5,1,0,113,30.0708,134,0
123,124,1,2,682,0,32.5,0,0,178,13.0,105,2
124,125,0,1,690,1,54.0,0,1,343,77.2875,88,2
125,126,1,3,485,1,12.0,1,0,155,11.2417,134,0
127,128,1,3,430,1,24.0,0,0,422,7.1417,134,2
129,130,0,3,219,1,45.0,0,0,259,6.975,134,2
130,131,0,3,210,1,33.0,0,0,308,7.8958,134,0
131,132,0,3,154,1,20.0,0,0,507,7.05,134,2
132,133,0,3,566,0,47.0,1,0,420,14.5,134,2
133,134,1,2,684,0,29.0,1,0,92,26.0,134,2
134,135,0,2,617,1,25.0,0,0,433,13.0,134,2
135,136,0,2,558,1,23.0,0,0,499,15.0458,134,0
136,137,1,1,482,0,19.0,0,2,46,26.2833,96,2
137,138,0,1,246,1,37.0,1,0,40,53.1,49,2
138,139,0,3,505,1,16.0,0,0,392,9.2167,134,2
139,140,0,1,255,1,24.0,0,0,467,79.2,40,0
141,142,1,3,494,0,22.0,0,0,273,7.75,134,2
142,143,1,3,288,0,24.0,1,0,531,15.85,134,2
143,144,0,3,110,1,19.0,0,0,358,6.75,134,1
144,145,0,2,32,1,18.0,0,0,99,11.5,134,2
145,146,0,2,483,1,19.0,1,1,439,36.75,134,2
146,147,1,3,29,1,27.0,0,0,331,7.7958,134,2
147,148,0,3,232,0,9.0,2,2,538,34.375,134,2
148,149,0,2,478,1,36.5,0,2,94,26.0,129,2
149,150,0,2,115,1,42.0,0,0,124,13.0,134,2
150,151,0,2,68,1,51.0,0,0,492,12.525,134,2
151,152,1,1,526,0,22.0,1,0,28,66.6,54,2
152,153,0,3,449,1,55.5,0,0,402,8.05,134,2
153,154,0,3,713,1,40.5,0,2,421,14.5,134,2
155,156,0,1,698,1,51.0,0,1,470,61.3792,134,0
156,157,1,3,260,0,16.0,0,0,344,7.7333,134,1
157,158,0,3,170,1,30.0,0,0,517,8.05,134,2
160,161,0,3,175,1,44.0,0,1,372,16.1,134,2
161,162,1,2,681,0,40.0,0,0,440,15.75,134,2
162,163,0,3,81,1,26.0,0,0,264,7.775,134,2
163,164,0,3,122,1,17.0,0,0,221,8.6625,134,2
164,165,0,3,514,1,1.0,4,1,208,39.6875,134,2
165,166,1,3,264,1,9.0,0,2,346,20.525,134,2
167,168,0,3,610,0,45.0,1,4,278,27.9,134,2
169,170,0,3,418,1,28.0,0,0,66,56.4958,134,2
170,171,0,1,667,1,61.0,0,0,5,33.5,14,2
171,172,0,3,553,1,4.0,4,1,377,29.125,134,1
172,173,1,3,365,0,1.0,1,1,285,11.1333,134,2
173,174,0,3,602,1,21.0,0,0,522,7.925,134,2
174,175,0,1,616,1,56.0,0,0,74,30.6958,11,0
175,176,0,3,389,1,18.0,1,1,338,7.8542,134,2
177,178,0,1,349,0,50.0,0,0,468,28.7125,61,0
178,179,0,2,289,1,30.0,0,0,145,13.0,134,2
179,180,0,3,407,1,36.0,0,0,452,0.0,134,2
182,183,0,3,41,1,9.0,4,2,270,31.3875,134,2
183,184,1,2,75,1,1.0,2,1,95,39.0,131,2
184,185,1,3,387,0,4.0,0,2,227,22.025,134,2
187,188,1,1,568,1,45.0,0,0,10,26.55,134,2
188,189,0,3,97,1,40.0,1,1,356,15.5,134,1
189,190,0,3,658,1,36.0,0,0,314,7.8958,134,2
190,191,1,2,541,0,32.0,0,0,103,13.0,134,2
191,192,0,2,127,1,19.0,0,0,186,13.0,134,2
192,193,1,3,20,0,19.0,1,0,332,7.8542,134,2
193,194,1,2,477,1,3.0,1,1,94,26.0,129,2
194,195,1,1,107,0,44.0,0,0,477,27.7208,24,0
195,196,1,1,427,0,58.0,0,0,462,146.5208,38,0
197,198,0,3,499,1,42.0,0,1,385,8.4042,134,2
199,200,0,2,706,0,24.0,0,0,136,13.0,134,2
200,201,0,3,669,1,28.0,0,0,248,9.5,134,2
202,203,0,3,360,1,34.0,0,0,201,6.4958,134,2
203,204,0,3,705,1,45.5,0,0,151,7.225,134,0
204,205,1,3,155,1,18.0,0,0,413,8.05,134,2
205,206,0,3,631,0,2.0,0,1,257,10.4625,132,2
206,207,0,3,51,1,32.0,1,0,206,15.85,134,2
207,208,1,3,9,1,26.0,0,0,176,18.7875,134,0
208,209,1,3,131,0,16.0,0,0,360,7.75,134,1
209,210,1,1,93,1,40.0,0,0,14,31.0,6,0
210,211,0,3,12,1,24.0,0,0,509,7.05,134,2
211,212,1,2,124,0,35.0,0,0,449,21.0,134,2
212,213,0,3,531,1,22.0,0,0,411,7.25,134,2
213,214,0,2,261,1,30.0,0,0,139,13.0,134,2
215,216,1,1,479,0,31.0,1,0,342,113.275,93,0
216,217,1,3,338,0,27.0,0,0,533,7.925,134,2
217,218,0,2,350,1,42.0,1,0,119,27.0,134,2
218,219,1,1,71,0,32.0,0,0,53,76.2917,84,0
219,220,0,2,305,1,30.0,0,0,540,10.5,134,2
220,221,1,3,633,1,16.0,0,0,516,8.05,134,2
221,222,0,2,101,1,27.0,0,0,87,13.0,134,2
222,223,0,3,277,1,51.0,0,0,84,8.05,134,2
224,225,1,1,341,1,38.0,1,0,77,90.0,79,2
225,226,0,3,82,1,22.0,0,0,487,9.35,134,2
226,227,1,2,448,1,19.0,0,0,535,10.5,134,2
227,228,0,3,424,1,20.5,0,0,410,7.25,134,2
228,229,0,2,226,1,18.0,0,0,106,13.0,134,2
230,231,1,1,306,0,35.0,1,0,367,83.475,72,2
231,232,0,3,399,1,29.0,0,0,263,7.775,134,2
232,233,0,2,604,1,59.0,0,0,109,13.5,134,2
233,234,1,3,43,0,5.0,4,2,270,31.3875,134,2
234,235,0,2,411,1,24.0,0,0,435,10.5,134,2
236,237,0,2,333,1,44.0,1,0,163,26.0,134,2
237,238,1,2,161,0,8.0,0,2,437,26.25,134,2
238,239,0,2,530,1,19.0,0,0,190,10.5,134,2
239,240,0,2,344,1,33.0,0,0,504,12.275,134,2
242,243,0,2,158,1,29.0,0,0,537,10.5,134,2
243,244,0,3,431,1,22.0,0,0,521,7.125,134,2
244,245,0,3,47,1,30.0,0,0,173,7.225,134,0
245,246,0,1,454,1,44.0,2,0,76,90.0,70,1
246,247,0,3,413,0,25.0,0,0,266,7.775,134,2
247,248,1,2,291,0,24.0,0,2,142,14.5,134,2
248,249,1,1,77,1,37.0,1,1,45,52.5542,92,2
249,250,0,2,138,1,54.0,1,0,121,26.0,134,2
251,252,0,3,632,0,29.0,1,1,257,10.4625,132,2
252,253,0,1,625,1,62.0,0,0,24,26.55,75,2
253,254,0,3,419,1,30.0,1,0,419,16.1,134,2
254,255,0,3,570,0,41.0,0,2,368,20.2125,134,2
255,256,1,3,654,0,29.0,0,2,154,15.2458,134,0
257,258,1,1,147,0,30.0,0,0,0,86.5,36,2
258,259,1,1,679,0,35.0,0,0,480,512.3292,134,0
259,260,1,2,520,0,50.0,0,1,96,26.0,134,2
261,262,1,3,42,1,3.0,4,2,270,31.3875,134,2
262,263,0,1,641,1,52.0,1,1,1,79.65,123,2
263,264,0,1,307,1,40.0,0,0,13,0.0,41,2
265,266,0,2,547,1,36.0,0,0,427,10.5,134,2
266,267,0,3,517,1,16.0,4,1,208,39.6875,134,2
267,268,1,3,533,1,25.0,1,0,275,7.775,134,2
268,269,1,1,276,0,58.0,0,1,464,153.4625,51,2
269,270,1,1,90,0,35.0,0,0,485,135.6333,80,2
271,272,1,3,653,1,25.0,0,0,452,0.0,134,2
272,273,1,2,447,0,41.0,0,1,138,19.5,134,2
273,274,0,1,475,1,37.0,0,1,469,29.7,48,0
275,276,1,1,33,0,63.0,1,0,60,77.9583,102,2
276,277,0,3,414,0,45.0,0,0,267,7.75,134,2
278,279,0,3,554,1,7.0,4,1,377,29.125,134,1
279,280,1,3,2,0,35.0,1,1,432,20.25,134,2
280,281,0,3,212,1,65.0,0,0,234,7.75,134,1
281,282,0,3,501,1,28.0,0,0,281,7.8542,134,2
282,283,0,3,711,1,16.0,0,0,251,9.5,134,2
283,284,1,3,206,1,19.0,0,0,416,8.05,134,2
285,286,0,3,622,1,33.0,0,0,306,8.6625,134,0
286,287,1,3,710,1,30.0,0,0,250,9.5,134,2
287,288,0,3,469,1,22.0,0,0,293,7.8958,134,2
288,289,1,2,340,1,42.0,0,0,115,13.0,134,2
289,290,1,3,166,0,22.0,0,0,370,7.75,134,1
290,291,1,1,65,0,26.0,0,0,75,78.85,134,2
291,292,1,1,89,0,19.0,1,0,54,91.0792,27,0
292,293,0,2,410,1,36.0,0,0,503,12.875,81,0
293,294,0,3,286,0,24.0,0,0,304,8.85,134,2
294,295,0,3,456,1,24.0,0,0,303,7.8958,134,2
296,297,0,3,293,1,23.5,0,0,172,7.2292,134,0
297,298,0,1,17,0,2.0,1,2,29,151.55,55,2
299,300,1,1,70,0,50.0,0,1,461,247.5208,32,0
302,303,0,3,368,1,19.0,0,0,452,0.0,134,2
305,306,1,1,16,1,0.92,1,2,29,151.55,55,2
307,308,1,1,529,0,17.0,1,0,483,108.9,66,0
308,309,0,2,3,1,30.0,1,0,453,24.0,134,0
309,310,1,1,241,0,30.0,0,0,460,56.9292,114,0
310,311,1,1,313,0,24.0,0,0,50,83.1583,64,0
311,312,1,1,577,0,18.0,2,2,475,262.375,31,0
312,313,0,2,391,0,26.0,1,1,143,26.0,134,2
313,314,0,3,319,1,28.0,0,0,310,7.8958,134,2
314,315,0,2,309,1,43.0,1,1,450,26.25,134,2
315,316,1,3,487,0,26.0,0,0,284,7.8542,134,2
316,317,1,2,378,0,24.0,1,0,127,26.0,134,2
317,318,0,2,464,1,54.0,0,0,191,14.0,134,2
318,319,1,1,692,0,31.0,0,2,363,164.8667,68,2
319,320,1,1,620,0,40.0,1,1,67,134.5,113,0
320,321,0,3,197,1,22.0,0,0,409,7.25,134,2
321,322,0,3,188,1,27.0,0,0,299,7.8958,134,2
322,323,1,2,611,0,30.0,0,0,105,12.35,134,1
323,324,1,2,121,0,22.0,1,1,134,29.0,134,2
325,326,1,1,704,0,36.0,0,0,485,135.6333,58,0
326,327,0,3,495,1,61.0,0,0,241,6.2375,134,2
327,328,1,2,60,0,36.0,0,0,188,13.0,81,2
328,329,1,3,266,0,31.0,1,1,346,20.525,134,2
329,330,1,1,326,0,16.0,0,1,7,57.9792,13,0
331,332,0,1,521,1,45.5,0,0,15,28.5,50,2
332,333,0,1,275,1,38.0,0,1,464,153.4625,77,2
333,334,0,3,673,1,16.0,2,0,244,18.0,134,2
336,337,0,1,525,1,29.0,1,0,28,66.6,54,2
337,338,1,1,111,0,41.0,0,0,67,134.5,116,0
338,339,1,3,180,1,45.0,0,0,398,8.05,134,2
339,340,0,1,92,1,45.0,0,0,31,35.5,133,2
340,341,1,2,476,1,2.0,1,1,94,26.0,129,2
341,342,1,1,236,0,24.0,3,2,78,263.0,56,2
342,343,0,2,159,1,28.0,0,0,135,13.0,134,2
343,344,0,2,587,1,25.0,0,0,126,13.0,134,2
344,345,0,2,240,1,36.0,0,0,93,13.0,134,2
345,346,1,2,105,0,24.0,0,0,133,13.0,130,2
346,347,1,2,615,0,40.0,0,0,214,13.0,134,2
348,349,1,3,172,1,3.0,1,1,443,15.9,134,2
349,350,0,3,201,1,42.0,0,0,218,8.6625,134,2
350,351,0,3,496,1,23.0,0,0,391,9.225,134,2
352,353,0,3,221,1,15.0,1,1,174,7.2292,134,0
353,354,0,3,37,1,25.0,1,0,305,17.8,134,2
355,356,0,3,670,1,28.0,0,0,255,9.5,134,2
356,357,1,1,100,0,22.0,0,1,22,55.0,112,2
357,358,0,2,245,0,38.0,0,0,112,13.0,134,2
360,361,0,3,609,1,40.0,1,4,278,27.9,134,2
361,362,0,2,712,1,29.0,1,0,501,27.7208,134,0
362,363,0,3,64,0,45.0,0,1,171,14.4542,134,0
363,364,0,3,40,1,35.0,0,0,508,7.05,134,2
365,366,0,3,5,1,30.0,0,0,425,7.25,134,2
366,367,1,1,680,0,60.0,1,0,4,75.25,94,0
369,370,1,1,48,0,24.0,0,0,458,69.3,20,0
370,371,1,1,297,1,25.0,1,0,49,55.4417,120,0
371,372,0,3,696,1,18.0,1,0,203,6.4958,134,2
372,373,0,3,74,1,19.0,0,0,228,8.05,134,2
373,374,0,1,563,1,22.0,0,0,485,135.6333,134,0
374,375,0,3,511,0,3.0,3,1,321,21.075,134,2
376,377,1,3,393,0,22.0,0,0,426,7.25,134,2
377,378,0,1,695,1,27.0,0,2,21,211.5,71,0
378,379,0,3,84,1,20.0,0,0,153,4.0125,134,0
379,380,0,3,285,1,19.0,0,0,265,7.775,134,2
380,381,1,1,85,0,42.0,0,0,482,227.525,134,0
381,382,1,3,471,0,1.0,0,2,156,15.7417,134,0
382,383,0,3,649,1,32.0,0,0,528,7.925,134,2
383,384,1,1,336,0,35.0,1,0,35,52.0,134,2
385,386,0,2,193,1,18.0,0,0,491,73.5,134,2
386,387,0,3,269,1,1.0,5,2,446,46.9,134,2
387,388,1,2,112,0,36.0,0,0,179,13.0,134,2
389,390,1,2,403,0,17.0,0,0,495,12.0,134,0
390,391,1,1,135,1,36.0,1,2,26,120.0,42,2
391,392,1,3,353,1,21.0,0,0,327,7.7958,134,2
392,393,0,3,284,1,28.0,2,0,205,7.925,134,2
393,394,1,1,480,0,23.0,1,0,342,113.275,93,0
394,395,1,3,584,0,24.0,0,2,488,16.7,132,2
395,396,0,3,361,1,22.0,0,0,336,7.7958,134,2
396,397,0,3,500,0,31.0,0,0,340,7.8542,134,2
397,398,0,2,444,1,46.0,0,0,185,26.0,134,2
398,399,0,2,509,1,23.0,0,0,123,10.5,134,2
399,400,1,2,656,0,28.0,0,0,117,12.65,134,2
400,401,1,3,489,1,39.0,0,0,526,7.925,134,2
401,402,0,3,6,1,26.0,0,0,235,8.05,134,2
402,403,0,3,373,0,21.0,1,0,383,9.825,134,2
403,404,0,3,287,1,28.0,1,0,531,15.85,134,2
404,405,0,3,503,0,20.0,0,0,223,8.6625,134,2
405,406,0,2,249,1,34.0,1,0,189,21.0,134,2
406,407,0,3,694,1,51.0,0,0,262,7.75,134,2
407,408,1,2,560,1,3.0,1,1,196,18.75,134,2
408,409,0,3,87,1,21.0,0,0,213,7.775,134,2
412,413,1,1,455,0,33.0,1,0,76,90.0,70,1
414,415,1,3,634,1,44.0,0,0,518,7.925,134,2
416,417,1,2,211,0,34.0,1,1,183,32.5,134,2
417,418,1,2,594,0,18.0,0,2,144,13.0,134,2
418,419,0,2,439,1,30.0,0,0,184,13.0,134,2
419,420,0,3,664,0,10.0,0,2,249,24.15,134,2
421,422,0,3,146,1,21.0,0,0,417,7.7333,134,1
422,423,0,3,708,1,29.0,0,0,215,7.875,134,2
423,424,0,3,186,0,28.0,1,1,272,14.4,134,2
424,425,0,3,569,1,18.0,1,1,368,20.2125,134,2
426,427,1,2,152,0,28.0,1,0,82,26.0,134,2
427,428,1,2,539,0,19.0,0,0,146,26.0,134,2
429,430,1,3,540,1,32.0,0,0,511,8.05,104,2
430,431,1,1,91,1,28.0,0,0,3,26.55,63,2
432,433,1,2,423,0,42.0,1,0,497,26.0,134,2
433,434,0,3,375,1,17.0,0,0,520,7.125,134,2
434,435,0,1,596,1,50.0,1,0,61,55.9,117,2
435,436,1,1,134,0,14.0,1,2,26,120.0,42,2
436,437,0,3,231,0,21.0,2,2,538,34.375,134,2
437,438,1,2,561,0,24.0,2,3,196,18.75,134,2
438,439,0,1,239,1,64.0,1,4,78,263.0,56,2
439,440,0,2,390,1,31.0,0,0,428,10.5,134,2
440,441,1,2,310,0,45.0,1,1,450,26.25,134,2
441,442,0,3,292,1,20.0,0,0,247,9.5,134,2
442,443,0,3,536,1,25.0,1,0,269,7.775,134,2
443,444,1,2,552,0,28.0,0,0,97,13.0,134,2
445,446,1,1,202,1,4.0,0,2,233,81.8583,7,2
446,447,1,2,446,0,13.0,0,1,138,19.5,134,2
447,448,1,1,589,1,34.0,0,0,37,26.55,134,2
448,449,1,3,55,0,5.0,2,1,160,19.2583,134,0
449,450,1,1,538,1,52.0,0,0,32,30.5,45,2
450,451,0,2,687,1,36.0,1,2,442,27.75,134,2
452,453,0,1,235,1,30.0,0,0,17,27.75,47,0
453,454,1,1,262,1,49.0,1,0,69,89.1042,78,0
455,456,1,3,352,1,29.0,0,0,307,7.8958,134,0
456,457,0,1,452,1,65.0,0,0,62,26.55,115,2
458,459,1,2,651,0,50.0,0,0,451,10.5,134,2
460,461,1,1,21,1,48.0,0,0,79,26.55,106,2
461,462,0,3,466,1,34.0,0,0,351,8.05,134,2
462,463,0,1,254,1,47.0,0,0,6,38.5,122,2
463,464,0,2,453,1,48.0,0,0,102,13.0,134,2
465,466,0,3,267,1,38.0,0,0,506,7.05,134,2
467,468,0,1,614,1,56.0,0,0,36,26.55,134,2
469,470,1,3,54,0,0.75,2,1,160,19.2583,134,0
471,472,0,3,118,1,38.0,0,0,219,8.6625,134,2
472,473,1,2,688,0,33.0,1,2,442,27.75,134,2
473,474,1,2,359,0,23.0,0,0,498,13.7917,81,0
474,475,0,3,629,0,22.0,0,0,397,9.8375,134,2
476,477,0,2,549,1,34.0,1,0,211,21.0,134,2
477,478,0,3,102,1,29.0,1,0,256,7.0458,134,2
478,479,0,3,380,1,22.0,0,0,337,7.5208,134,2
479,480,1,3,328,0,2.0,0,1,210,12.2875,134,2
480,481,0,3,268,1,9.0,5,2,446,46.9,134,2
482,483,0,3,574,1,50.0,0,0,414,8.05,134,2
483,484,1,3,660,0,63.0,0,0,380,9.5875,134,2
484,485,1,1,88,1,25.0,1,0,54,91.0792,27,0
486,487,1,1,342,0,35.0,1,0,77,90.0,79,2
487,488,0,1,384,1,58.0,0,0,52,29.7,21,0
488,489,0,3,619,1,30.0,0,0,403,8.05,134,2
489,490,1,3,171,1,9.0,1,1,443,15.9,134,2
491,492,0,3,700,1,21.0,0,0,514,7.25,134,2
492,493,0,1,460,1,55.0,0,0,33,30.5,57,2
493,494,0,1,39,1,71.0,0,0,476,49.5042,134,0
494,495,0,3,624,1,21.0,0,0,404,8.05,134,2
496,497,1,1,225,0,54.0,1,0,364,78.2667,87,0
498,499,0,1,18,0,25.0,1,2,29,151.55,55,2
499,500,0,3,638,1,24.0,0,0,328,7.7958,134,2
500,501,0,3,123,1,17.0,0,0,217,8.6625,134,2
501,502,0,3,125,0,21.0,0,0,355,7.75,134,1
503,504,0,3,392,0,37.0,0,0,381,9.5875,134,2
504,505,1,1,432,0,16.0,0,0,0,86.5,37,2
505,506,0,1,528,1,18.0,1,0,483,108.9,66,0
506,507,1,2,546,0,33.0,0,2,152,26.0,134,2
508,509,0,3,498,1,28.0,0,0,423,22.525,134,2
509,510,1,3,394,1,26.0,0,0,66,56.4958,134,2
510,511,1,3,183,1,29.0,0,0,376,7.75,134,1
512,513,1,1,442,1,36.0,0,0,454,26.2875,110,2
513,514,1,1,573,0,54.0,1,0,473,59.4,134,0
514,515,0,3,157,1,24.0,0,0,295,7.4958,134,2
515,516,0,1,678,1,47.0,0,0,366,34.0208,95,2
516,517,1,2,406,0,34.0,0,0,441,10.5,130,2
518,519,1,2,35,0,36.0,1,0,91,26.0,134,2
519,520,0,3,524,1,32.0,0,0,309,7.8958,134,2
520,521,1,1,532,0,30.0,0,0,56,93.5,35,2
521,522,0,3,676,1,22.0,0,0,318,7.8958,134,2
523,524,1,1,327,0,44.0,0,1,7,57.9792,13,0
525,526,0,3,227,1,40.5,0,0,361,7.75,134,1
526,527,1,2,562,0,50.0,0,0,536,10.5,134,2
528,529,0,3,582,1,39.0,0,0,209,7.925,134,2
529,530,0,2,329,1,23.0,2,1,194,11.5,134,2
530,531,1,2,545,0,2.0,1,1,152,26.0,134,2
532,533,0,3,220,1,17.0,1,1,170,7.2292,134,0
534,535,0,3,117,0,30.0,0,0,216,8.6625,134,2
535,536,1,2,308,0,7.0,0,2,450,26.25,134,2
536,537,0,1,114,1,45.0,0,0,16,26.55,22,2
537,538,1,1,400,0,30.0,0,0,486,106.425,134,0
539,540,1,1,243,0,22.0,0,2,64,49.5,23,0
540,541,1,1,177,0,36.0,0,2,541,71.0,16,2
541,542,0,3,26,0,9.0,4,2,274,31.275,134,2
542,543,0,3,27,0,11.0,4,2,274,31.275,134,2
543,544,1,2,72,1,32.0,1,0,192,26.0,134,2
544,545,0,1,207,1,50.0,1,0,486,106.425,74,0
545,546,0,1,484,1,64.0,0,0,389,26.0,134,2
546,547,1,2,73,0,19.0,1,0,192,26.0,134,2
548,549,0,3,265,1,33.0,1,1,346,20.525,134,2
549,550,1,2,191,1,8.0,1,1,439,36.75,134,2
550,551,1,1,645,1,17.0,0,2,68,110.8833,69,0
551,552,0,2,590,1,27.0,0,0,125,26.0,134,2
553,554,1,3,402,1,22.0,0,0,147,7.225,134,0
554,555,1,3,497,0,22.0,0,0,276,7.775,134,2
555,556,0,1,701,1,62.0,0,0,43,26.55,134,2
556,557,1,1,213,0,48.0,1,0,48,39.6,1,0
558,559,1,1,642,0,39.0,1,1,1,79.65,123,2
559,560,1,3,709,0,36.0,1,0,242,17.4,134,2
561,562,0,3,601,1,40.0,0,0,317,7.8958,134,2
562,563,0,2,490,1,28.0,0,0,85,13.5,134,2
565,566,0,3,192,1,24.0,2,0,405,24.15,134,2
566,567,0,3,628,1,19.0,0,0,292,7.8958,134,2
567,568,0,3,513,0,29.0,0,4,321,21.075,134,2
569,570,1,3,371,1,32.0,0,0,341,7.8542,134,2
570,571,1,2,303,1,62.0,0,0,494,10.5,134,2
571,572,1,1,36,0,53.0,2,0,51,51.4792,43,2
572,573,1,1,230,1,36.0,0,0,455,26.3875,110,2
574,575,0,3,576,1,16.0,0,0,406,8.05,134,2
575,576,0,3,523,1,19.0,0,0,345,14.5,134,2
576,577,1,2,251,0,34.0,0,0,120,13.0,134,2
577,578,1,1,597,0,39.0,1,0,61,55.9,117,2
